Market,Selection,Odds,matchup,timestamp
Handicap – Game,Portland Trail Blazers +7.5,1.862,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Handicap – Game,Golden State Warriors -7.0,1.909,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Handicap – Game,Portland Trail Blazers +7.0,1.909,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Handicap – Game,Golden State Warriors -6.5,1.833,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Handicap – Game,Portland Trail Blazers +6.5,1.99,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Total – Game,Under 220.5,1.877,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Handicap – Game,Golden State Warriors -8.5,2.14,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Money Line – Game,Toronto Raptors,2.0,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Total – Game,Under 226,1.787,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Handicap – Game,Toronto Raptors -1.0,2.06,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Money Line – Game,Golden State Warriors,1.369,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Total – Game,Over 226,2.05,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Total – Game,Under 225.5,1.84,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Total – Game,Over 225.5,1.98,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Total – Game,Under 225,1.909,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Total – Game,Over 225,1.943,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Total – Game,Under 224.5,1.952,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Total – Game,Over 224.5,1.869,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Total – Game,Under 224,2.01,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Total – Game,Over 224,1.819,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Handicap – Game,Sacramento Kings -2.5,2.06,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Handicap – Game,Toronto Raptors +2.5,1.775,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Handicap – Game,Sacramento Kings -2.0,1.99,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Handicap – Game,Toronto Raptors +2.0,1.833,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Handicap – Game,Sacramento Kings -1.5,1.934,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Handicap – Game,Toronto Raptors +1.5,1.917,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Handicap – Game,Sacramento Kings -1.0,1.869,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Handicap – Game,Toronto Raptors +1.0,1.952,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Handicap – Game,Sacramento Kings +1.0,1.775,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Money Line – Game,Sacramento Kings,1.854,Toronto Raptors vs Sacramento Kings,2025-10-08 22:55:58
Money Line – Game,Portland Trail Blazers,3.18,Portland Trail Blazers vs Golden State Warriors,2025-10-08 22:55:58
Total – Game,Under 233.5,1.819,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Total – Game,Over 225.5,1.98,Utah Jazz vs Houston Rockets,2025-10-08 22:55:58
Total – Game,Over 233,1.952,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Total – Game,Under 232.5,1.943,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Total – Game,Over 232.5,1.909,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Total – Game,Under 232,1.98,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Total – Game,Over 232,1.847,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Total – Game,Under 231.5,2.03,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Total – Game,Over 231.5,1.8,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Handicap – Game,Memphis Grizzlies +1.5,2.09,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Handicap – Game,Boston Celtics -1.5,1.751,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Handicap – Game,Memphis Grizzlies +2.0,2.02,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Handicap – Game,Boston Celtics -2.0,1.813,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Handicap – Game,Memphis Grizzlies +2.5,1.961,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Handicap – Game,Boston Celtics -2.5,1.892,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Handicap – Game,Memphis Grizzlies +3.0,1.877,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Handicap – Game,Boston Celtics -3.0,1.943,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Handicap – Game,Memphis Grizzlies +3.5,1.806,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Handicap – Game,Boston Celtics -3.5,2.02,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Money Line – Game,Memphis Grizzlies,2.24,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
Money Line – Game,Boston Celtics,1.684,Boston Celtics vs Memphis Grizzlies,2025-10-08 22:55:58
