team1,team2,game_link,team1_moneyline,team2_moneyline,team1_spread,team1_spread_odds,team2_spread,team2_spread_odds,over_total,over_total_odds,under_total,under_total_odds,timestamp
Phoenix Suns,Utah Jazz,https://www.pinnacle.com/en/basketball/nba/phoenix-suns-vs-utah-jazz/1617898714/,2.01,1.9,1.0,1.952,-1.0,1.952,230.5,1.961,230.5,1.909,2025-10-27 22:04:12
Oklahoma City Thunder,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba/oklahoma-city-thunder-vs-dallas-mavericks/1617904463/,1.291,4.0,-8.5,1.925,8.5,1.98,226.5,1.943,226.5,1.943,2025-10-27 22:04:12
Toronto Raptors,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba/toronto-raptors-vs-san-antonio-spurs/1617898711/,2.61,1.561,4.5,1.943,-4.5,1.961,232.5,1.934,232.5,1.952,2025-10-27 22:04:12
Brooklyn Nets,Houston Rockets,https://www.pinnacle.com/en/basketball/nba/brooklyn-nets-vs-houston-rockets/1617904457/,8.95,1.099,16.0,1.961,-16.0,1.943,224.5,1.9,224.5,1.99,2025-10-27 22:04:12
Atlanta Hawks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba/atlanta-hawks-vs-chicago-bulls/1617904458/,1.751,2.21,-2.5,1.961,2.5,1.943,243.0,1.934,243.0,1.952,2025-10-27 22:04:12
Boston Celtics,New Orleans Pelicans,https://www.pinnacle.com/en/basketball/nba/boston-celtics-vs-new-orleans-pelicans/1617898710/,1.806,2.12,-2.0,1.952,2.0,1.952,231.5,1.917,231.5,1.97,2025-10-27 22:04:12
Portland Trail Blazers,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/portland-trail-blazers-vs-los-angeles-lakers/1617904479/,1.757,2.2,-3.0,1.98,3.0,1.925,226.0,1.884,226.0,2.0,2025-10-27 22:14:31
Memphis Grizzlies,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba/memphis-grizzlies-vs-golden-state-warriors/1617900228/,3.86,1.306,8.0,2.01,-8.0,1.9,239.5,1.961,239.5,1.925,2025-10-27 22:14:31
Denver Nuggets,Minnesota Timberwolves,https://www.pinnacle.com/en/basketball/nba/denver-nuggets-vs-minnesota-timberwolves/1617904472/,1.425,3.09,-6.5,1.934,6.5,1.97,229.5,1.934,229.5,1.952,2025-10-27 22:14:31
Phoenix Suns,Utah Jazz,https://www.pinnacle.com/en/basketball/nba/phoenix-suns-vs-utah-jazz/1617898714/,2.01,1.9,1.0,1.952,-1.0,1.952,230.5,1.961,230.5,1.909,2025-10-27 22:14:31
Oklahoma City Thunder,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba/oklahoma-city-thunder-vs-dallas-mavericks/1617904463/,1.291,4.0,-8.5,1.925,8.5,1.98,226.5,1.943,226.5,1.943,2025-10-27 22:14:31
Boston Celtics,New Orleans Pelicans,https://www.pinnacle.com/en/basketball/nba/boston-celtics-vs-new-orleans-pelicans/1617898710/,1.806,2.12,-2.0,1.952,2.0,1.952,231.5,1.917,231.5,1.97,2025-10-27 22:14:31
Toronto Raptors,San Antonio Spurs,https://www.pinnacle.com/en/basketball/nba/toronto-raptors-vs-san-antonio-spurs/1617898711/,2.61,1.561,4.5,1.943,-4.5,1.961,232.5,1.934,232.5,1.952,2025-10-27 22:14:31
Atlanta Hawks,Chicago Bulls,https://www.pinnacle.com/en/basketball/nba/atlanta-hawks-vs-chicago-bulls/1617904458/,1.751,2.21,-2.5,1.961,2.5,1.943,243.0,1.934,243.0,1.952,2025-10-27 22:14:31
Brooklyn Nets,Houston Rockets,https://www.pinnacle.com/en/basketball/nba/brooklyn-nets-vs-houston-rockets/1617904457/,8.95,1.099,16.0,1.961,-16.0,1.943,224.5,1.9,224.5,1.99,2025-10-27 22:14:31
Portland Trail Blazers,Los Angeles Lakers,https://www.pinnacle.com/en/basketball/nba/portland-trail-blazers-vs-los-angeles-lakers/1617904479/,1.757,2.2,-3.0,1.98,3.0,1.917,226.0,1.892,226.0,2.0,2025-10-27 22:24:59
Memphis Grizzlies,Golden State Warriors,https://www.pinnacle.com/en/basketball/nba/memphis-grizzlies-vs-golden-state-warriors/1617900228/,3.86,1.306,8.0,2.01,-8.0,1.9,239.5,1.961,239.5,1.925,2025-10-27 22:24:59
Denver Nuggets,Minnesota Timberwolves,https://www.pinnacle.com/en/basketball/nba/denver-nuggets-vs-minnesota-timberwolves/1617904472/,1.436,3.05,-6.5,1.952,6.5,1.952,229.5,1.934,229.5,1.952,2025-10-27 22:24:59
Phoenix Suns,Utah Jazz,https://www.pinnacle.com/en/basketball/nba/phoenix-suns-vs-utah-jazz/1617898714/,2.01,1.9,1.0,1.952,-1.0,1.952,230.5,1.961,230.5,1.909,2025-10-27 22:24:59
Oklahoma City Thunder,Dallas Mavericks,https://www.pinnacle.com/en/basketball/nba/oklahoma-city-thunder-vs-dallas-mavericks/1617904463/,1.291,4.0,-8.5,1.925,8.5,1.98,226.5,1.943,226.5,1.943,2025-10-27 22:24:59
