Market,Selection,Odds,matchup,timestamp
Total – Game,Under 225.5,1.97,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Over 225.5,1.869,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Under 225,2.03,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Over 224,1.735,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Under 224.5,2.08,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Over 224.5,1.781,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Under 224,2.14,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Under 226,1.934,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Over 225,1.826,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Over 226.5,1.961,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Over 228,2.12,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Over 227,2.02,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Under 227,1.833,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Over 227.5,2.06,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Under 227.5,1.787,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Under 228,1.746,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Over 228.5,2.17,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Under 228.5,1.709,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Team Total – Game,Houston Rockets Over 109.5,1.884,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Team Total – Game,Oklahoma City Thunder Under 109.5,1.961,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Team Total – Game,Houston Rockets Over 116.5,1.98,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Under 223.5,2.18,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Under 226.5,1.884,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Team Total – Game,Oklahoma City Thunder Under 116.5,1.877,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Over 223.5,1.699,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Houston Rockets +9.0,1.595,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Oklahoma City Thunder -9.0,2.38,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Money Line – Game,Houston Rockets,3.06,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Money Line – Game,Oklahoma City Thunder,1.392,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Houston Rockets +4.0,2.36,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Oklahoma City Thunder -4.0,1.606,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Houston Rockets +4.5,2.26,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Houston Rockets +5.0,2.17,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Oklahoma City Thunder -5.0,1.704,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Houston Rockets +5.5,2.09,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Oklahoma City Thunder -5.5,1.769,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Houston Rockets +6.0,2.01,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Oklahoma City Thunder -4.5,1.653,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Houston Rockets +6.5,1.917,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Oklahoma City Thunder -6.0,1.847,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Houston Rockets +8.5,1.645,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Oklahoma City Thunder -8.0,2.19,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Houston Rockets +8.0,1.694,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Oklahoma City Thunder -7.5,2.11,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Oklahoma City Thunder -8.5,2.28,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Oklahoma City Thunder -7.0,2.02,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Houston Rockets +7.0,1.833,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Oklahoma City Thunder -6.5,1.934,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Handicap – Game,Houston Rockets +7.5,1.757,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:46:30
Total – Game,Over 226.5,1.961,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Under 224,2.14,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Over 224.5,1.781,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Under 224.5,2.08,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Over 225,1.826,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Under 225,2.03,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Over 225.5,1.869,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Under 225.5,1.97,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Over 226,1.917,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Under 226,1.934,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Over 227,2.02,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Over 224,1.735,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Over 227.5,2.06,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Under 227.5,1.787,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Over 228,2.12,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Under 228,1.746,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Over 228.5,2.17,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Under 228.5,1.709,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Team Total – Game,Houston Rockets Over 109.5,1.884,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Team Total – Game,Oklahoma City Thunder Under 109.5,1.961,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Team Total – Game,Houston Rockets Over 116.5,1.98,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Team Total – Game,Oklahoma City Thunder Under 116.5,1.877,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Under 227,1.833,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Under 223.5,2.18,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Under 226.5,1.884,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Oklahoma City Thunder -9.0,2.38,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Money Line – Game,Oklahoma City Thunder,1.392,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Houston Rockets +4.0,2.36,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Oklahoma City Thunder -4.0,1.606,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Houston Rockets +4.5,2.26,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Oklahoma City Thunder -4.5,1.653,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Houston Rockets +5.0,2.17,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Oklahoma City Thunder -5.0,1.704,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Houston Rockets +5.5,2.09,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Oklahoma City Thunder -5.5,1.769,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Houston Rockets +6.0,2.01,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Oklahoma City Thunder -6.0,1.847,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Money Line – Game,Houston Rockets,3.06,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Houston Rockets +6.5,1.917,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Oklahoma City Thunder -6.5,1.934,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Houston Rockets +7.0,1.833,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Oklahoma City Thunder -7.0,2.02,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Houston Rockets +7.5,1.757,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Oklahoma City Thunder -7.5,2.11,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Houston Rockets +8.0,1.694,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Oklahoma City Thunder -8.0,2.19,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Houston Rockets +8.5,1.645,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Oklahoma City Thunder -8.5,2.28,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Handicap – Game,Houston Rockets +9.0,1.595,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Over 223.5,1.699,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:49:41
Total – Game,Under 226,1.934,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Over 226,1.917,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Under 225.5,1.97,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Over 225.5,1.869,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Under 224,2.14,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Over 225,1.826,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Under 224.5,2.08,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Over 224.5,1.781,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Over 226.5,1.961,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Under 225,2.03,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Under 226.5,1.884,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Under 228,1.746,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Under 227,1.833,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Over 227.5,2.06,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Under 227.5,1.787,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Over 228,2.12,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Over 228.5,2.17,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Under 228.5,1.709,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Team Total – Game,Houston Rockets Over 109.5,1.884,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Team Total – Game,Oklahoma City Thunder Under 109.5,1.961,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Team Total – Game,Houston Rockets Over 116.5,1.98,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Over 224,1.735,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Over 227,2.02,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Under 223.5,2.18,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Team Total – Game,Oklahoma City Thunder Under 116.5,1.877,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Oklahoma City Thunder -9.0,2.38,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Money Line – Game,Houston Rockets,3.06,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Money Line – Game,Oklahoma City Thunder,1.392,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Houston Rockets +4.0,2.36,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Oklahoma City Thunder -4.0,1.606,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Houston Rockets +4.5,2.26,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Oklahoma City Thunder -4.5,1.653,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Houston Rockets +5.0,2.17,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Oklahoma City Thunder -5.0,1.704,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Houston Rockets +5.5,2.09,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Oklahoma City Thunder -5.5,1.769,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Houston Rockets +6.0,2.01,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Over 223.5,1.699,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Houston Rockets +6.5,1.917,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Oklahoma City Thunder -6.5,1.934,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Houston Rockets +7.0,1.833,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Oklahoma City Thunder -7.0,2.02,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Houston Rockets +7.5,1.757,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Oklahoma City Thunder -7.5,2.11,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Houston Rockets +8.0,1.694,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Oklahoma City Thunder -8.0,2.19,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Houston Rockets +8.5,1.645,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Oklahoma City Thunder -8.5,2.28,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Houston Rockets +9.0,1.595,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Handicap – Game,Oklahoma City Thunder -6.0,1.847,Houston Rockets vs Oklahoma City Thunder,2025-09-10 23:56:11
Total – Game,Over 226,1.917,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Under 225.5,1.97,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Over 225.5,1.869,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Under 225,2.03,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Over 224,1.735,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Under 224.5,2.08,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Over 224.5,1.781,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Under 224,2.14,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Under 226,1.934,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Over 225,1.826,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Over 226.5,1.961,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Over 228,2.12,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Over 227,2.02,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Under 227,1.833,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Over 227.5,2.06,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Under 227.5,1.787,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Under 228,1.746,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Over 228.5,2.17,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Under 228.5,1.709,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Team Total – Game,Houston Rockets Over 109.5,1.884,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Team Total – Game,Oklahoma City Thunder Under 109.5,1.961,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Team Total – Game,Houston Rockets Over 116.5,1.98,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Under 223.5,2.18,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Under 226.5,1.884,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Team Total – Game,Oklahoma City Thunder Under 116.5,1.877,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Total – Game,Over 223.5,1.699,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Houston Rockets +9.0,1.595,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Oklahoma City Thunder -9.0,2.38,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Money Line – Game,Houston Rockets,3.06,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Money Line – Game,Oklahoma City Thunder,1.392,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Houston Rockets +4.0,2.36,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Oklahoma City Thunder -4.0,1.606,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Houston Rockets +4.5,2.26,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Houston Rockets +5.0,2.17,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Oklahoma City Thunder -5.0,1.704,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Houston Rockets +5.5,2.09,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Oklahoma City Thunder -5.5,1.769,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Houston Rockets +6.0,2.01,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Oklahoma City Thunder -4.5,1.653,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Houston Rockets +6.5,1.917,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Oklahoma City Thunder -6.0,1.847,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
Handicap – Game,Houston Rockets +8.5,1.645,Houston Rockets vs Oklahoma City Thunder,2025-09-11 00:01:47
